Date,Close,Ticker
22-03-2024,141.7298279,M
26-03-2024,144.7311554,M
27-03-2024,144.4453278,M
28-03-2024,145.3504791,M
01-04-2024,153.8780975,M
02-04-2024,158.3562775,M
03-04-2024,166.5027771,M
04-04-2024,167.0744629,M
05-04-2024,169.1229858,M
08-04-2024,169.5993805,M
09-04-2024,174.7921753,M
10-04-2024,174.0775604,M
12-04-2024,169.7899475,M
15-04-2024,173.0771332,M
16-04-2024,174.3157806,M
18-04-2024,172.7913055,M
19-04-2024,176.078476,M
22-04-2024,176.6977844,M
23-04-2024,174.6968994,M
24-04-2024,179.1274414,M
25-04-2024,179.3656464,M
26-04-2024,179.9849548,M
29-04-2024,179.6038513,M
30-04-2024,176.5072327,M
02-05-2024,177.841156,M
03-05-2024,176.3643036,M
06-05-2024,174.4110565,M
07-05-2024,168.2654724,M
08-05-2024,170.7427368,M
09-05-2024,162.6915436,M
10-05-2024,165.7405243,M
13-05-2024,168.598938,M
14-05-2024,180.8901367,M
15-05-2024,180.5566406,M
16-05-2024,180.9854126,M
17-05-2024,185.6541748,M
21-05-2024,189.6559448,M
22-05-2024,188.1790771,M
23-05-2024,182.1287689,M
24-05-2024,184.0343781,M
27-05-2024,185.1777496,M
28-05-2024,182.3669739,M
29-05-2024,185.5588684,M
30-05-2024,180.5566406,M
31-05-2024,182.6051788,M
03-06-2024,186.9404449,M
04-06-2024,151.0673218,M
05-06-2024,167.8366699,M
06-06-2024,172.0766754,M
07-06-2024,176.5548706,M
10-06-2024,174.7540741,M
11-06-2024,174.5253906,M
12-06-2024,176.2880859,M
13-06-2024,177.7554016,M
14-06-2024,182.8529205,M
18-06-2024,179.251297,M
19-06-2024,176.1546783,M
20-06-2024,182.2621765,M
21-06-2024,184.8252258,M
24-06-2024,181.0139923,M
25-06-2024,179.5752563,M
26-06-2024,178.079361,M
27-06-2024,176.3643036,M
28-06-2024,178.2794495,M
01-07-2024,182.2907562,M
02-07-2024,183.634201,M
03-07-2024,184.5965424,M
04-07-2024,185.3968964,M
05-07-2024,189.6273651,M
08-07-2024,196.5733032,M
09-07-2024,194.3056183,M
10-07-2024,190.0561218,M
11-07-2024,189.5130005,M
12-07-2024,188.2362518,M
15-07-2024,189.293869,M
16-07-2024,190.4086456,M
18-07-2024,183.1768494,M
19-07-2024,177.5362549,M
22-07-2024,181.7381287,M
23-07-2024,176.4309845,M
24-07-2024,177.7649231,M
25-07-2024,175.4305573,M
26-07-2024,180.5566406,M
29-07-2024,182.6337585,M
30-07-2024,182.3669739,M
31-07-2024,185.053894,M
01-08-2024,183.6723175,M
02-08-2024,176.4691162,M
05-08-2024,164.778183,M
06-08-2024,164.4732971,M
07-08-2024,170.8761597,M
08-08-2024,164.5209351,M
09-08-2024,168.8847809,M
12-08-2024,165.988266,M
13-08-2024,161.8626099,M
14-08-2024,157.2986603,M
16-08-2024,157.3367767,M
19-08-2024,163.2822723,M
20-08-2024,163.9397125,M
21-08-2024,162.7201385,M
22-08-2024,163.2632294,M
23-08-2024,164.9878082,M
26-08-2024,173.3915405,M
27-08-2024,176.7740021,M
28-08-2024,175.8497772,M
29-08-2024,174.1061554,M
30-08-2024,173.9822845,M
02-09-2024,170.1710815,M
03-09-2024,170.2377625,M
04-09-2024,166.4741821,M
05-09-2024,167.9700928,M
06-09-2024,165.7881622,M
09-09-2024,163.0726471,M
10-09-2024,167.3221893,M
11-09-2024,163.3489838,M
12-09-2024,170.9618835,M
13-09-2024,173.7440796,M
16-09-2024,180.4423218,M
17-09-2024,177.9554901,M
18-09-2024,176.4214783,M
19-09-2024,173.6011658,M
20-09-2024,177.2909088,M
23-09-2024,173.6397095,M
24-09-2024,184.4681091,M
25-09-2024,188.0518646,M
26-09-2024,195.5855103,M
27-09-2024,199.4582977,M
30-09-2024,202.5892792,M
01-10-2024,216.0188141,M
03-10-2024,214.4003296,M
04-10-2024,212.280899,M
07-10-2024,207.0208435,M
08-10-2024,204.9977264,M
09-10-2024,206.4331665,M
10-10-2024,204.9302979,M
11-10-2024,214.7567902,M
14-10-2024,218.2634888,M
15-10-2024,210.9996033,M
16-10-2024,209.3522186,M
17-10-2024,216.9243927,M
18-10-2024,223.6198883,M
21-10-2024,221.5775299,M
22-10-2024,212.3964996,M
23-10-2024,215.8068695,M
24-10-2024,218.0611877,M
25-10-2024,210.8551025,M
28-10-2024,215.5949097,M
29-10-2024,219.8916016,M
30-10-2024,218.8029785,M
31-10-2024,218.9956665,M
01-11-2024,220.7586517,M
04-11-2024,222.3675079,M
05-11-2024,226.4233246,M
06-11-2024,236.0089569,M
07-11-2024,229.89151,M
08-11-2024,230.141983,M
11-11-2024,224.1497498,M
12-11-2024,217.6372986,M
13-11-2024,211.6450653,M
14-11-2024,211.8184814,M
18-11-2024,231.1438904,M
19-11-2024,231.509964,M
21-11-2024,239.1206818,M
22-11-2024,247.4442902,M
25-11-2024,242.1649475,M
26-11-2024,240.7969666,M
27-11-2024,237.2709808,M
28-11-2024,239.9010315,M
29-11-2024,237.081192,M
02-12-2024,238.2169647,M
03-12-2024,241.7123718,M
04-12-2024,240.0381012,M
05-12-2024,243.5922546,M
06-12-2024,243.0733185,M
09-12-2024,245.3252716,M
10-12-2024,244.982605,M
11-12-2024,244.316803,M
12-12-2024,225.9585266,M
13-12-2024,221.7287903,M
16-12-2024,215.3156281,M
17-12-2024,221.8952332,M
18-12-2024,222.1400146,M
19-12-2024,216.2555542,M
20-12-2024,210.8606873,M
23-12-2024,212.9461823,M
24-12-2024,208.9220581,M
26-12-2024,212.5349579,M
